contact,duration,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contacts,financial,campaigns,demographic
0,178,1.1,93.994,-36.4,4.857,5191.0,1001,0,0,46
1,256,-1.7,94.215,-40.3,0.835,4991.6,1003,0,2,28
0,42,1.4,94.465,-41.8,4.959,5228.1,1004,1,0,46
1,442,1.4,93.918,-42.7,4.963,5228.1,1001,2,0,32
1,107,1.4,93.444,-36.1,4.964,5228.1,1003,0,0,47
0,1109,1.1,93.994,-36.4,4.86,5191.0,1002,2,0,41
1,873,1.4,93.918,-42.7,4.962,5228.1,1007,1,0,39
0,91,1.1,93.994,-36.4,4.858,5191.0,1002,0,0,54
1,367,1.4,93.918,-42.7,4.962,5228.1,1000,2,0,40
1,112,1.4,93.918,-42.7,4.962,5228.1,1000,2,0,35
0,67,1.4,94.465,-41.8,4.959,5228.1,1002,1,0,47
1,360,-1.1,94.767,-50.8,1.031,4963.6,1000,2,0,41
0,171,1.1,93.994,-36.4,4.857,5191.0,1002,0,0,62
1,676,-0.1,93.2,-42.0,4.12,5195.8,1001,1,0,60
0,136,1.1,93.994,-36.4,4.855,5191.0,1001,0,0,46
1,438,1.4,93.918,-42.7,4.962,5228.1,1001,1,0,61
1,127,-1.8,92.893,-46.2,1.334,5099.1,1001,1,0,65
1,192,-0.1,93.2,-42.0,4.153,5195.8,1001,1,0,65
0,270,1.4,94.465,-41.8,4.962,5228.1,1002,0,0,62
0,66,1.1,93.994,-36.4,4.857,5191.0,1002,1,0,51
0,173,1.4,94.465,-41.8,4.864,5228.1,1009,4,0,48
1,384,-0.1,93.2,-42.0,4.12,5195.8,1001,1,2,53
1,14,-1.8,93.075,-47.1,1.405,5099.1,1000,1,0,34
1,245,1.4,93.918,-42.7,4.962,5228.1,1001,1,0,70
0,287,1.1,93.994,-36.4,4.864,5191.0,1000,0,0,53
0,124,1.4,94.465,-41.8,4.962,5228.1,1000,0,0,31
1,97,1.4,93.444,-36.1,4.965,5228.1,1000,2,0,44
1,205,-3.4,92.379,-29.8,0.803,5017.5,1001,1,0,40
0,62,1.1,93.994,-36.4,4.864,5191.0,1002,2,0,33
1,174,1.4,93.918,-42.7,4.958,5228.1,1001,1,0,34
1,50,-0.1,93.2,-42.0,4.12,5195.8,1001,1,0,62
0,138,1.1,93.994,-36.4,4.856,5191.0,1003,0,0,41
0,114,1.1,93.994,-36.4,4.857,5191.0,1000,1,0,49
1,258,-1.8,93.075,-47.1,1.365,5099.1,5,0,4,36
1,903,-1.8,92.893,-46.2,1.334,5099.1,1001,1,0,29
1,48,1.4,93.444,-36.1,4.964,5228.1,1001,3,0,66
1,91,-1.8,93.075,-47.1,1.445,5099.1,1002,1,0,45
0,129,-1.8,93.075,-47.1,1.423,5099.1,1001,0,0,76
1,494,-1.8,93.749,-34.6,0.644,5008.7,8,1,3,59
1,297,-1.8,93.075,-47.1,1.405,5099.1,1003,0,0,26
1,256,-1.8,92.893,-46.2,1.281,5099.1,1002,1,0,35
1,326,-2.9,92.201,-31.4,0.869,5076.2,1002,1,0,62
1,103,1.4,93.918,-42.7,4.963,5228.1,1007,0,0,38
0,138,-1.8,92.893,-46.2,1.327,5099.1,1003,1,0,55
1,273,-1.7,94.027,-38.3,0.904,4991.6,1002,2,2,80
1,309,1.4,93.444,-36.1,4.965,5228.1,1000,1,0,39
1,885,-1.8,92.893,-46.2,1.25,5099.1,1002,1,0,34
0,964,1.1,93.994,-36.4,4.86,5191.0,1001,2,0,54
1,701,-1.1,94.601,-49.5,1.037,4963.6,1001,0,0,34
0,82,-0.1,93.2,-42.0,4.153,5195.8,1001,2,0,56
0,80,1.1,93.994,-36.4,4.857,5191.0,1001,1,0,60
0,16,-1.8,93.876,-40.0,0.672,5008.7,1000,1,0,55
1,87,1.4,93.918,-42.7,4.958,5228.1,1000,2,0,31
0,181,1.1,93.994,-36.4,4.856,5191.0,1002,1,0,48
0,108,1.1,93.994,-36.4,4.855,5191.0,1000,2,0,64
0,123,1.4,94.465,-41.8,4.865,5228.1,1003,1,0,49
1,110,1.4,93.444,-36.1,4.97,5228.1,1001,1,0,49
1,75,1.4,93.918,-42.7,4.968,5228.1,1000,1,0,50
1,136,-3.4,92.649,-30.1,0.714,5017.5,1001,1,2,41
1,256,-3.0,92.713,-33.0,0.706,5023.5,1000,1,0,48
0,140,1.4,94.465,-41.8,4.864,5228.1,1005,0,0,53
1,475,-0.1,93.2,-42.0,4.153,5195.8,1000,1,0,53
0,38,1.1,93.994,-36.4,4.858,5191.0,1011,1,0,58
1,322,-0.1,93.2,-42.0,4.076,5195.8,1003,0,0,37
1,254,-3.0,92.713,-33.0,0.718,5023.5,1001,0,0,58
1,595,-2.9,92.963,-40.8,1.26,5076.2,1003,0,2,33
1,199,-1.8,92.893,-46.2,1.259,5099.1,1001,0,2,37
1,105,1.4,93.918,-42.7,4.963,5228.1,1000,0,0,29
0,176,-2.9,92.201,-31.4,0.869,5076.2,1001,1,0,69
1,593,1.4,93.918,-42.7,4.962,5228.1,1001,1,0,38
0,97,1.1,93.994,-36.4,4.856,5191.0,1001,1,0,46
1,142,-1.8,92.893,-46.2,1.334,5099.1,1001,1,0,57
0,140,1.4,94.465,-41.8,4.865,5228.1,1002,1,0,55
1,209,-3.4,92.649,-30.1,0.715,5017.5,1002,1,3,47
1,194,-2.9,92.469,-33.6,1.029,5076.2,15,0,3,53
1,198,-1.7,94.215,-40.3,0.846,4991.6,1001,1,0,43
1,108,-0.1,93.2,-42.0,4.12,5195.8,1000,2,0,45
0,504,1.1,93.994,-36.4,4.857,5191.0,1000,2,0,52
0,659,-1.8,93.369,-34.8,0.652,5008.7,1000,1,0,83
0,1540,1.4,94.465,-41.8,4.962,5228.1,1000,1,0,48
1,704,-1.8,92.893,-46.2,1.313,5099.1,1001,0,2,45
1,43,1.4,93.918,-42.7,4.96,5228.1,1001,1,0,41
1,92,1.4,93.918,-42.7,4.961,5228.1,1002,1,0,65
1,146,-1.8,92.893,-46.2,1.25,5099.1,1000,1,0,50
1,803,1.4,93.918,-42.7,4.962,5228.1,1001,0,0,34
