contact,duration,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,contacts,financial,campaigns,demographic
0.0,178.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,0.0,0.0,46.0
1.0,256.0,-1.7,94.215,-40.3,0.835,4991.6,1003.0,0.0,2.0,28.0
0.0,42.0,1.4,94.465,-41.8,4.959,5228.1,1004.0,1.0,0.0,46.0
1.0,442.0,1.4,93.918,-42.7,4.963,5228.1,1001.0,2.0,0.0,32.0
1.0,107.0,1.4,93.444,-36.1,4.964,5228.1,1003.0,0.0,0.0,47.0
0.0,644.5,1.1,93.994,-36.4,4.86,5191.0,1002.0,2.0,0.0,41.0
1.0,644.5,1.4,93.918,-42.7,4.962,5228.1,1005.0,1.0,0.0,39.0
0.0,91.0,1.1,93.994,-36.4,4.858,5191.0,1002.0,0.0,0.0,54.0
1.0,367.0,1.4,93.918,-42.7,4.962,5228.1,1000.0,2.0,0.0,40.0
1.0,112.0,1.4,93.918,-42.7,4.962,5228.1,1000.0,2.0,0.0,35.0
0.0,67.0,1.4,94.465,-41.8,4.959,5228.1,1002.0,1.0,0.0,47.0
1.0,360.0,-1.1,94.767,-50.8,1.031,4963.6,1000.0,2.0,0.0,41.0
0.0,171.0,1.1,93.994,-36.4,4.857,5191.0,1002.0,0.0,0.0,62.0
1.0,644.5,-0.1,93.2,-42.0,4.12,5195.8,1001.0,1.0,0.0,60.0
0.0,136.0,1.1,93.994,-36.4,4.855,5191.0,1001.0,0.0,0.0,46.0
1.0,438.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,1.0,0.0,61.0
1.0,127.0,-1.8,92.893,-46.2,1.334,5099.1,1001.0,1.0,0.0,65.0
1.0,192.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,1.0,0.0,65.0
0.0,270.0,1.4,94.465,-41.8,4.962,5228.1,1002.0,0.0,0.0,62.0
0.0,66.0,1.1,93.994,-36.4,4.857,5191.0,1002.0,1.0,0.0,51.0
0.0,173.0,1.4,94.465,-41.8,4.864,5228.1,1005.0,4.0,0.0,48.0
1.0,384.0,-0.1,93.2,-42.0,4.12,5195.8,1001.0,1.0,2.0,53.0
1.0,14.0,-1.8,93.075,-47.1,1.405,5099.1,1000.0,1.0,0.0,34.0
1.0,245.0,1.4,93.918,-42.7,4.962,5228.1,1001.0,1.0,0.0,70.0
0.0,287.0,1.1,93.994,-36.4,4.864,5191.0,1000.0,0.0,0.0,53.0
0.0,124.0,1.4,94.465,-41.8,4.962,5228.1,1000.0,0.0,0.0,31.0
1.0,97.0,1.4,93.444,-36.1,4.965,5228.1,1000.0,2.0,0.0,44.0
1.0,205.0,-3.4,92.379,-29.8,0.803,5017.5,1001.0,1.0,0.0,40.0
0.0,62.0,1.1,93.994,-36.4,4.864,5191.0,1002.0,2.0,0.0,33.0
1.0,174.0,1.4,93.918,-42.7,4.958,5228.1,1001.0,1.0,0.0,34.0
1.0,50.0,-0.1,93.2,-42.0,4.12,5195.8,1001.0,1.0,0.0,62.0
0.0,138.0,1.1,93.994,-36.4,4.856,5191.0,1003.0,0.0,0.0,41.0
0.0,114.0,1.1,93.994,-36.4,4.857,5191.0,1000.0,1.0,0.0,49.0
1.0,258.0,-1.8,93.075,-47.1,1.365,5099.1,997.0,0.0,4.0,36.0
1.0,644.5,-1.8,92.893,-46.2,1.334,5099.1,1001.0,1.0,0.0,29.0
1.0,48.0,1.4,93.444,-36.1,4.964,5228.1,1001.0,3.0,0.0,66.0
1.0,91.0,-1.8,93.075,-47.1,1.445,5099.1,1002.0,1.0,0.0,45.0
0.0,129.0,-1.8,93.075,-47.1,1.423,5099.1,1001.0,0.0,0.0,76.0
1.0,494.0,-1.8,93.749,-34.6,0.644,5008.7,997.0,1.0,3.0,59.0
1.0,297.0,-1.8,93.075,-47.1,1.405,5099.1,1003.0,0.0,0.0,26.0
1.0,256.0,-1.8,92.893,-46.2,1.281,5099.1,1002.0,1.0,0.0,35.0
1.0,326.0,-2.9,92.201,-31.4,0.869,5076.2,1002.0,1.0,0.0,62.0
1.0,103.0,1.4,93.918,-42.7,4.963,5228.1,1005.0,0.0,0.0,38.0
0.0,138.0,-1.8,92.893,-46.2,1.327,5099.1,1003.0,1.0,0.0,55.0
1.0,273.0,-1.7,94.027,-38.3,0.904,4991.6,1002.0,2.0,2.0,80.0
1.0,309.0,1.4,93.444,-36.1,4.965,5228.1,1000.0,1.0,0.0,39.0
1.0,644.5,-1.8,92.893,-46.2,1.25,5099.1,1002.0,1.0,0.0,34.0
0.0,644.5,1.1,93.994,-36.4,4.86,5191.0,1001.0,2.0,0.0,54.0
1.0,644.5,-1.1,94.601,-49.5,1.037,4963.6,1001.0,0.0,0.0,34.0
0.0,82.0,-0.1,93.2,-42.0,4.153,5195.8,1001.0,2.0,0.0,56.0
0.0,80.0,1.1,93.994,-36.4,4.857,5191.0,1001.0,1.0,0.0,60.0
0.0,16.0,-1.8,93.876,-40.0,0.672,5008.7,1000.0,1.0,0.0,55.0
1.0,87.0,1.4,93.918,-42.7,4.958,5228.1,1000.0,2.0,0.0,31.0
0.0,181.0,1.1,93.994,-36.4,4.856,5191.0,1002.0,1.0,0.0,48.0
0.0,108.0,1.1,93.994,-36.4,4.855,5191.0,1000.0,2.0,0.0,64.0
0.0,123.0,1.4,94.465,-41.8,4.865,5228.1,1003.0,1.0,0.0,49.0
1.0,110.0,1.4,93.444,-36.1,4.97,5228.1,1001.0,1.0,0.0,49.0
1.0,75.0,1.4,93.918,-42.7,4.968,5228.1,1000.0,1.0,0.0,50.0
1.0,136.0,-3.4,92.649,-30.1,0.714,5017.5,1001.0,1.0,2.0,41.0
1.0,256.0,-3.0,92.713,-33.0,0.706,5023.5,1000.0,1.0,0.0,48.0
0.0,140.0,1.4,94.465,-41.8,4.864,5228.1,1005.0,0.0,0.0,53.0
1.0,475.0,-0.1,93.2,-42.0,4.153,5195.8,1000.0,1.0,0.0,53.0
0.0,38.0,1.1,93.994,-36.4,4.858,5191.0,1005.0,1.0,0.0,58.0
1.0,322.0,-0.1,93.2,-42.0,4.076,5195.8,1003.0,0.0,0.0,37.0
1.0,254.0,-3.0,92.713,-33.0,0.718,5023.5,1001.0,0.0,0.0,58.0
1.0,595.0,-2.9,92.963,-40.8,1.26,5076.2,1003.0,0.0,2.0,33.0
1.0,199.0,-1.8,92.893,-46.2,1.259,5099.1,1001.0,0.0,2.0,37.0
